genetics_bool,genetic_sd,slot_duration,start_abdominal,timestep,simultaneous_fixation,clutch_m,clutch_sd,noise_sd,n_embryos,smallest_n,total_clutches,chisquare,chi_pvalue,pearsonsR,Rsquared,pear_pvalue
False,0,30,42,2,False,10,6,20,823,21,79,1.46575342466,0.961736896072,0.98739816979,0.974955145704,0.0
True,5,15,42,2,False,10,6,20,833,10,78,1.34905660377,0.968883889556,0.97998555021,0.96037167862,0.0
True,10,15,42,2,False,10,6,20,861,10,84,7.27777777778,0.295920693263,0.95106648305,0.904527455182,0.0
True,10,120,42,2,True,10,6,20,743,87,74,15.3392070485,0.017776325725,0.964115219049,0.929518155602,0.0
True,10,60,42,2,True,10,6,20,832,12,78,4.94117647059,0.551379574795,0.958312814779,0.918363450969,0.0
False,0,60,42,2,True,10,6,20,763,28,71,7.18620689655,0.303969804264,0.987144686541,0.974454632167,0.0
True,5,120,42,2,True,10,6,20,723,85,78,11.6784869976,0.0695379298421,0.97662191705,0.953790368862,0.0
True,5,60,42,2,True,10,6,20,679,28,70,3.53424657534,0.739407904221,0.975622811215,0.951839869764,0.0
False,0,120,42,2,False,10,6,20,769,120,70,3.23993558776,0.778185627876,0.973676280371,0.948045498957,0.0
False,0,120,42,2,True,10,6,20,879,104,83,8.82068965517,0.183916322664,0.973532758426,0.947766031729,0.0
False,0,60,42,2,False,10,6,20,710,49,71,2.63671875,0.852863833957,0.986830370132,0.973834179415,0.0
False,0,60,42,2,False,10,6,20,745,38,71,2.53865336658,0.864116903821,0.985606214704,0.971419610463,0.0
True,10,60,42,2,True,10,6,20,654,20,73,23.7604166667,0.000577985323774,0.969497024468,0.939924480452,0.0
False,0,15,42,2,False,10,6,20,692,7,71,0.642140468227,0.995655657737,0.987554548661,0.97526398658,0.0
False,0,60,42,2,False,10,6,20,829,57,80,1.08235294118,0.982296886401,0.985765855039,0.971734320961,0.0
True,10,15,42,2,False,10,6,20,668,6,70,4.26294820717,0.641139823311,0.961413955193,0.92431679324,0.0
False,0,15,42,2,False,10,6,20,625,3,57,1.9375,0.925355976855,0.98864875925,0.977426369167,0.0
True,5,15,42,2,False,10,6,20,866,9,86,4.77333333333,0.573196153567,0.980914419333,0.962193098056,0.0
True,5,60,42,2,True,10,6,20,704,11,76,2.29824561404,0.890328721568,0.974399317475,0.949454029897,0.0
True,10,15,42,2,False,10,6,20,753,10,69,4.2457002457,0.643465040916,0.962073398627,0.925585224345,0.0
False,0,120,42,2,False,10,6,20,876,136,88,0.718662952646,0.994079406947,0.970374089885,0.941625874321,0.0
False,0,120,42,2,False,10,6,20,761,116,76,5.10344827586,0.530615317474,0.975210973338,0.951036442518,0.0
True,5,60,42,2,True,10,6,20,604,8,64,8.48780487805,0.204497870557,0.978968912126,0.95838013091,0.0
False,0,60,42,2,True,10,6,20,830,43,73,2.83333333333,0.829455758737,0.985138610377,0.970498081656,0.0
True,5,120,42,2,False,10,6,20,708,105,72,4.80434782609,0.569140876421,0.967546568532,0.936146362279,0.0
False,0,120,42,2,True,10,6,20,829,95,82,5.77470355731,0.448895383413,0.968515936231,0.938023118733,0.0
False,0,120,42,2,True,10,6,20,802,87,74,7.18485523385,0.304089850305,0.973498048404,0.947698450247,0.0
True,5,15,42,2,False,10,6,20,657,7,64,1.3883161512,0.966565306169,0.983738280972,0.967741005449,0.0
True,5,60,42,2,True,10,6,20,781,17,75,1.14444444444,0.979539822483,0.970789788232,0.942432812935,0.0
False,0,60,42,2,False,10,6,20,700,49,72,2.50980392157,0.867368840912,0.985495212738,0.971200814329,0.0
False,0,120,42,2,True,10,6,20,787,93,69,7.52129817444,0.27531189234,0.975516402585,0.951632251713,0.0
True,10,60,42,2,True,10,6,20,755,28,78,18.5072463768,0.00508204444105,0.956059359964,0.914049499774,0.0
False,0,60,42,2,False,10,6,20,734,51,77,3.47368421053,0.747467542709,0.984240133087,0.968728639578,0.0
True,10,120,42,2,True,10,6,20,791,86,78,30.8585858586,2.69747211147e-05,0.957624855939,0.917045364712,0.0
False,0,120,42,2,False,10,6,20,954,151,91,1.88295165394,0.930142469111,0.97353462896,0.947769673783,0.0
True,5,15,42,2,False,10,6,20,635,8,62,2.60843373494,0.856140289431,0.985688242472,0.971581311348,0.0
False,0,15,42,2,False,10,6,20,613,3,71,0.832,0.99118807745,0.986933060283,0.974036865479,0.0
True,10,60,42,2,False,10,6,20,764,49,67,6.95774647887,0.324772478664,0.958253885682,0.918250509425,0.0
False,0,120,42,2,True,10,6,20,963,107,89,9.11610486891,0.167152938459,0.975223929216,0.951061712115,0.0
True,5,60,42,2,True,10,6,20,671,7,70,3.83333333333,0.69921897174,0.978737997253,0.957928067266,0.0
False,0,15,42,2,False,10,6,20,800,9,74,0.68073878628,0.994897346498,0.98681098428,0.973795918695,0.0
False,0,60,42,2,True,10,6,20,759,35,64,4.36756756757,0.627065152857,0.983435300244,0.967144989766,0.0
True,10,30,42,2,False,10,6,20,822,26,79,6.14913957935,0.406692592721,0.95847476104,0.918673867551,0.0
False,0,30,42,2,False,10,6,20,703,23,66,3.09282700422,0.797109158108,0.987928962933,0.976003635801,0.0
True,10,15,42,2,False,10,6,20,737,7,77,2.64705882353,0.851660036504,0.942655217392,0.888598858877,0.0
True,5,15,42,2,False,10,6,20,752,7,69,1.95238095238,0.924025571712,0.981320627783,0.962990174512,0.0
False,0,60,42,2,True,10,6,20,748,32,72,7.01754385965,0.319227801004,0.986564671588,0.973309851226,0.0
False,0,30,42,2,True,10,6,20,822,9,82,0.352331606218,0.999201108343,0.990065326402,0.980229350544,0.0
True,5,60,42,2,True,10,6,20,687,26,65,4.10408921933,0.662592610545,0.975352606234,0.951312706487,0.0
True,10,120,42,2,False,10,6,20,731,110,71,3.44186046512,0.751688154657,0.962625531732,0.926647914342,0.0
False,0,60,42,2,True,10,6,20,741,25,75,4.8897338403,0.558031534142,0.98137784142,0.96310246763,0.0
False,0,120,42,2,False,10,6,20,580,88,64,2.84501061571,0.828033147192,0.974900649651,0.95043127669,0.0
True,5,15,42,2,False,10,6,20,878,11,83,2.9696969697,0.812640467743,0.982042566373,0.964407602169,0.0
True,5,30,42,2,True,10,6,20,766,10,79,7.16582914573,0.305783443355,0.979577177421,0.959571446524,0.0
False,0,120,42,2,False,10,6,20,663,104,66,2.99068901304,0.810014549128,0.978008286265,0.956500208002,0.0
False,0,60,42,2,True,10,6,20,791,30,78,5.48553054662,0.483207257525,0.982308023728,0.964929053481,0.0
False,0,15,42,2,False,10,6,20,768,7,75,1.1677852349,0.978445990689,0.986822315474,0.973818282317,0.0
False,0,60,42,2,True,10,6,20,848,25,79,0.736842105263,0.993661192251,0.985118525528,0.970458509339,0.0
False,0,60,42,2,False,10,6,20,891,66,89,2.77410071942,0.836618455962,0.98473197585,0.969697064262,0.0
True,10,60,42,2,False,10,6,20,679,47,65,2.0,0.919698602929,0.962810633529,0.927004316036,0.0
False,0,60,42,2,True,10,6,20,618,20,64,10.9333333333,0.0904588287941,0.984890945027,0.970010173596,0.0
